l1x, l1y, l1z, l2x, l2y, l2z, l3x, l3y, l3z, l4x, l4y, l4z, l5x, l5y, l5z, l6x, l6y, l6z 
292.784, -39.4628, -263.223, 116.752, 265.434, -270.001, -112.216, 194.364, -263.223, -288.248, 31.6066, -270.001, -112.216, -273.29, -263.223, 116.752, -202.22, -269.999, 
292.331, -38.6783, -261.915, 117.422, 264.274, -270.001, -112.669, 195.149, -261.915, -287.579, 30.4469, -270.001, -112.669, -272.505, -261.915, 117.421, -203.38, -269.999, 
291.716, -37.612, -260.18, 118.251, 262.838, -270.001, -113.285, 196.215, -260.18, -286.75, 29.0107, -270.001, -113.285, -271.439, -260.18, 118.251, -204.816, -269.999, 
291.161, -36.652, -258.659, 118.937, 261.649, -270.001, -113.839, 197.175, -258.659, -286.063, 27.8219, -270.001, -113.839, -270.479, -258.659, 118.937, -206.005, -269.999, 
290.586, -35.6552, -257.121, 119.603, 260.495, -270.001, -114.415, 198.172, -257.121, -285.397, 26.6681, -270.001, -114.415, -269.482, -257.121, 119.603, -207.159, -269.999, 
289.937, -34.5321, -255.44, 120.308, 259.274, -270.001, -115.063, 199.295, -255.44, -284.692, 25.4469, -270.001, -115.063, -268.359, -255.44, 120.308, -208.38, -269.999, 
289.118, -33.1122, -253.391, 121.145, 257.825, -270.001, -115.883, 200.715, -253.391, -283.856, 23.9983, -270.001, -115.883, -266.939, -253.391, 121.145, -209.828, -269.999, 
288.23, -31.5746, -251.269, 121.995, 256.352, -270.001, -116.771, 202.252, -251.269, -283.005, 22.5253, -270.001, -116.77, -265.402, -251.269, 121.995, -211.301, -269.999, 
287.486, -30.2857, -249.568, 122.672, 255.18, -270.001, -117.515, 203.541, -249.568, -282.328, 21.3525, -270.001, -117.515, -264.113, -249.568, 122.672, -212.474, -269.999, 
286.734, -28.9841, -247.922, 123.329, 254.043, -270.001, -118.266, 204.843, -247.922, -281.672, 20.2158, -270.001, -118.266, -262.811, -247.922, 123.328, -213.611, -269.999, 
285.846, -27.4454, -246.07, 124.074, 252.751, -270.001, -119.154, 206.382, -246.07, -280.926, 18.924, -270.001, -119.154, -261.272, -246.07, 124.074, -214.903, -269.999, 
285.06, -26.0843, -244.515, 124.711, 251.649, -270.001, -119.94, 207.743, -244.516, -280.289, 17.8214, -270.001, -119.94, -259.911, -244.515, 124.711, -216.005, -269.999, 
284.084, -24.3946, -242.696, 125.475, 250.324, -270.001, -120.916, 209.432, -242.696, -279.525, 16.4973, -270.001, -120.916, -258.222, -242.696, 125.475, -217.329, -269.999, 
283.15, -22.7753, -241.066, 126.185, 249.095, -270.001, -121.851, 211.052, -241.066, -278.815, 15.2679, -270.001, -121.851, -256.602, -241.066, 126.185, -218.559, -269.999, 
282.23, -21.182, -239.572, 126.865, 247.917, -270.001, -122.771, 212.645, -239.572, -278.135, 14.0904, -270.001, -122.771, -255.009, -239.572, 126.865, -219.736, -269.999, 
